id_tomate,fecha,turno,lote_proveedor,categoria_calidad,defecto,diametro_mm,peso_g
1,2025-10-17,Tarde,C,I,No,68.1,108.93357076505615
2,2025-10-18,Tarde,B,Extra,No,75.6,139.50867849414408
3,2025-10-15,Tarde,C,I,No,70.0,118.23844269050346
4,2025-10-17,Tarde,B,II,No,68.4,115.41514928204013
5,2025-10-17,Tarde,C,I,No,78.7,152.97923312638335
6,2025-10-18,Tarde,C,II,No,66.9,99.87931521525411
7,2025-10-15,Tarde,C,I,No,72.6,134.59606407753694
8,2025-10-15,Mañana,C,I,No,70.7,121.98717364576459
9,2025-10-17,Mañana,C,I,No,75.3,136.50262807032522
10,2025-10-16,Mañana,B,I,No,72.4,128.51280021792982
11,2025-10-17,Mañana,C,II,No,68.4,105.4829115359377
12,2025-10-17,Mañana,B,Extra,No,83.1,171.6213512321487
13,2025-10-17,Mañana,A,I,No,71.0,120.70981135783018
14,2025-10-17,Mañana,A,I,No,68.8,100.03359877671097
15,2025-10-18,Tarde,B,I,Sí,72.0,115.37541083743484
16,2025-10-15,Mañana,B,Extra,No,80.1,157.63856235379512
17,2025-10-18,Tarde,B,II,No,67.3,97.78584439832785
18,2025-10-18,Mañana,B,I,Sí,74.8,138.17123666297633
19,2025-10-18,Tarde,A,Extra,No,72.0,119.45987962239394
20,2025-10-17,Tarde,B,II,Sí,61.1,67.88848149332352
21,2025-10-16,Tarde,B,I,No,67.5,111.07824384460777
22,2025-10-15,Tarde,A,II,No,59.3,65.72111849756729
23,2025-10-16,Tarde,A,I,No,70.5,117.58764102343962
24,2025-10-18,Tarde,C,I,No,68.1,99.3262590689327
25,2025-10-18,Tarde,B,I,No,75.5,137.02808637737408
26,2025-10-16,Tarde,C,II,Sí,59.2,66.95461294854937
27,2025-10-16,Tarde,B,Extra,No,82.0,163.24503211288848
28,2025-10-16,Mañana,B,I,No,65.6,97.07849009172836
29,2025-10-18,Tarde,A,Extra,No,69.4,109.29680655040599
30,2025-10-18,Mañana,A,Extra,No,71.3,119.39153125103358
31,2025-10-15,Tarde,A,I,No,78.8,151.591466938853
32,2025-10-15,Tarde,C,I,No,69.8,123.36139092254466
33,2025-10-18,Tarde,B,I,No,72.4,125.73251387631034
34,2025-10-16,Tarde,B,II,No,64.2,83.61144535522052
35,2025-10-16,Mañana,C,II,No,64.6,94.81272456051593
36,2025-10-15,Mañana,C,Extra,No,72.7,121.04578175014493
37,2025-10-18,Tarde,B,Extra,No,75.2,139.4443179750238
38,2025-10-15,Mañana,B,I,No,72.2,115.10164938060116
39,2025-10-15,Mañana,C,I,No,77.6,142.55906975550783
40,2025-10-17,Tarde,C,Extra,Sí,66.6,100.68430617934561
41,2025-10-17,Mañana,C,Extra,No,82.2,173.5923328999771
42,2025-10-17,Mañana,B,I,No,72.4,126.65684140594986
43,2025-10-16,Tarde,A,II,Sí,63.3,84.27175858805876
44,2025-10-18,Mañana,C,Extra,No,72.5,124.74448152205356
45,2025-10-18,Tarde,A,I,No,74.7,128.7573900481629
46,2025-10-18,Mañana,A,I,No,71.0,115.90077895802645
47,2025-10-18,Tarde,A,Extra,No,68.1,104.14680614520105
48,2025-10-17,Tarde,C,I,No,71.6,127.48561113109457
49,2025-10-16,Tarde,B,Extra,No,80.1,162.1680914478423
50,2025-10-16,Tarde,C,I,Sí,73.9,123.73479922318634
51,2025-10-17,Tarde,B,Extra,No,72.2,126.52041984697401
52,2025-10-16,Mañana,B,Extra,No,69.0,108.57458859791842
53,2025-10-17,Tarde,A,I,No,68.5,104.8653899984702
54,2025-10-18,Tarde,C,Extra,No,85.0,185.55838144420434
55,2025-10-17,Tarde,A,Extra,No,68.0,111.15499761247976
56,2025-10-18,Tarde,A,I,No,66.2,102.55640059558102
57,2025-10-18,Tarde,B,Extra,No,76.8,141.40391238388676
